method,method_label,as_of_hour,n_components,n_defects,n_healthy,n_tester_faults,true_positives,false_positives,false_negatives,true_negatives,defect_recall,false_negative_rate,false_positive_rate,precision,recall_after_onset,n_early_warnings,median_lead_time_hours,mean_lead_time_hours,min_lead_time_hours,n_detected_after_crossing,n_detected_never_crossing,tester_fault_flag_rate,false_positive_rate_incl_tester_faults
fixed_limit,Fixed upper-limit screening,24.0,200,48,144,8,4,0,44,144,0.08333333333333333,0.9166666666666666,0.0,1.0,0.10810810810810811,0,,,,4,0,0.0,0.0
robust_mad,Median/MAD robust screening (repository rule),24.0,200,48,144,8,22,0,26,144,0.4583333333333333,0.5416666666666666,0.0,1.0,0.5945945945945946,14,108.0,114.85714285714286,96.0,6,2,0.125,0.006578947368421052
isolation_forest,Isolation Forest,24.0,200,48,144,8,21,0,27,144,0.4375,0.5625,0.0,1.0,0.5675675675675675,13,96.0,112.61538461538461,96.0,6,2,0.125,0.006578947368421052
combined,Combined robust + Isolation Forest (existing detector),24.0,200,48,144,8,22,0,26,144,0.4583333333333333,0.5416666666666666,0.0,1.0,0.5945945945945946,14,108.0,114.85714285714286,96.0,6,2,0.125,0.006578947368421052
robust_mad_strict,"Median/MAD, textbook scale (diagnostic)",24.0,200,48,144,8,25,3,23,141,0.5208333333333334,0.4791666666666667,0.020833333333333332,0.8928571428571429,0.6756756756756757,15,96.0,113.6,96.0,6,4,0.125,0.02631578947368421
