method,method_label,as_of_hour,contamination,robust_threshold,fit_scope,defect_recall,false_negative_rate,false_positive_rate,precision,median_lead_time_hours,n_early_warnings
fixed_limit,Fixed upper-limit screening,12.0,,,,0.08333333333333333,0.9166666666666666,0.0,1.0,,0
fixed_limit,Fixed upper-limit screening,12.0,,,,0.08333333333333333,0.9166666666666666,0.0,1.0,,0
fixed_limit,Fixed upper-limit screening,24.0,,,,0.10416666666666667,0.8958333333333334,0.0,1.0,,0
fixed_limit,Fixed upper-limit screening,24.0,,,,0.08333333333333333,0.9166666666666666,0.0,1.0,,0
fixed_limit,Fixed upper-limit screening,48.0,,,,0.125,0.875,0.0,1.0,,0
fixed_limit,Fixed upper-limit screening,48.0,,,,0.08333333333333333,0.9166666666666666,0.0,1.0,,0
isolation_forest,Isolation Forest,12.0,0.05,,per_family,0.16666666666666666,0.8333333333333334,0.013888888888888888,0.8,108.0,2
isolation_forest,Isolation Forest,12.0,0.1,,per_family,0.2916666666666667,0.7083333333333334,0.020833333333333332,0.8235294117647058,108.0,8
isolation_forest,Isolation Forest,12.0,0.15,,per_family,0.3333333333333333,0.6666666666666666,0.027777777777777776,0.8,108.0,9
isolation_forest,Isolation Forest,12.0,0.2,,per_family,0.4166666666666667,0.5833333333333334,0.09027777777777778,0.6060606060606061,108.0,13
isolation_forest,Isolation Forest,24.0,0.05,,per_family,0.16666666666666666,0.8333333333333334,0.0,1.0,96.0,1
isolation_forest,Isolation Forest,24.0,0.1,,per_family,0.4375,0.5625,0.0,1.0,96.0,13
isolation_forest,Isolation Forest,24.0,0.15,,per_family,0.5,0.5,0.006944444444444444,0.96,108.0,14
isolation_forest,Isolation Forest,24.0,0.2,,per_family,0.6041666666666666,0.3958333333333333,0.10416666666666667,0.6590909090909091,108.0,18
isolation_forest,Isolation Forest,48.0,0.05,,per_family,0.16666666666666666,0.8333333333333334,0.0,1.0,,0
isolation_forest,Isolation Forest,48.0,0.1,,per_family,0.4583333333333333,0.5416666666666666,0.0,1.0,84.0,12
