config,model,objective,target,feature_set,mae_norm_pooled,mae_norm_fold_mean,mae_norm_fold_std,folds_beating_persistence,batches_beating_persistence,batches_total,paired_batch_delta_mean,paired_batch_delta_se,train_mae_norm_fold_mean,share_clipped_at_zero,mae_ua_pooled,rmse_norm_pooled,mean_signed_error,healthy_mae_norm,nonhealthy_mae_norm,crossing_recall,crossing_fpr,crossing_precision,crossing_tp,crossing_fn,crossing_fp,crossing_tn,latent_recall_no_tester,latent_fpr_no_tester,new_crossing_recall,new_crossing_fpr,new_crossing_tp,new_crossing_fp
AB_gate_z2_bag5,xgboost,reg:absoluteerror,residual_over_persistence,leakage_only,0.14150086431788192,0.1414199064670445,0.0017893326891896834,5,36,36,-0.017689302597478394,0.0017196241418466918,0.13934748842682074,0.0,0.07943826184731709,0.41677658487204094,-0.10673591408975965,0.012818053374446532,0.6007090678368417,0.31645569620253167,0.005716864751015496,0.8215962441314554,175,378,38,6609,0.21588089330024815,0.005751475707582866,0.18,0.004371419957793186,81,29
A_gate_z2,xgboost,reg:absoluteerror,residual_over_persistence,leakage_only,0.14151632011655566,0.14143569991243266,0.0017858912612620389,5,36,36,-0.01767384679880469,0.0017226261336805995,0.13933067611570674,0.0,0.07945078219806356,0.416789906977487,-0.1067188184040301,0.012810097006863834,0.6008080706044406,0.31464737793851716,0.005716864751015496,0.8207547169811321,174,379,38,6609,0.21588089330024815,0.005751475707582866,0.18,0.004371419957793186,81,29
AB_gate_z3_bag5,xgboost,reg:absoluteerror,residual_over_persistence,leakage_only,0.14230679318404896,0.14220922092244576,0.0019708723072945104,5,36,36,-0.016883373731311397,0.0016661549546385943,0.14050806699616558,0.0,0.08002797614381689,0.41911736079041784,-0.11087072866160222,0.010959782612854923,0.6110222674558732,0.31464737793851716,0.005716864751015496,0.8207547169811321,174,379,38,6609,0.21339950372208435,0.005751475707582866,0.17777777777777778,0.004371419957793186,80,29
A_gate_z3,xgboost,reg:absoluteerror,residual_over_persistence,leakage_only,0.14231780752604517,0.1422203913859347,0.001964340406883072,5,36,36,-0.01687235938931514,0.0016697375334121742,0.1404938460248895,0.0,0.08004140428093078,0.4191158283009291,-0.1108500216665223,0.010953250936311939,0.6110958952548903,0.3128390596745027,0.005716864751015496,0.8199052132701422,173,380,38,6609,0.21339950372208435,0.005751475707582866,0.17777777777777778,0.004371419957793186,80,29
B_bag5,xgboost,reg:absoluteerror,residual_over_persistence,leakage_only,0.14290764049308008,0.14283554491743455,0.0016336430365849741,5,35,36,-0.016282526422280272,0.0017395026936190326,0.14036264280452693,0.0,0.08041609596111407,0.4148979622461683,-0.1007085055047069,0.016536369572854582,0.5938670489038339,0.31645569620253167,0.005716864751015496,0.8215962441314554,175,378,38,6609,0.21588089330024815,0.005751475707582866,0.18,0.004371419957793186,81,29
base,xgboost,reg:absoluteerror,residual_over_persistence,leakage_only,0.14292315451867502,0.14285091696895377,0.0016330788365972995,5,35,36,-0.016267012396685314,0.0017428478827798731,0.14034786550015216,0.0,0.08042530082952569,0.41492637304324254,-0.10069774198774685,0.016520319649919405,0.5939951997609857,0.31464737793851716,0.005716864751015496,0.8207547169811321,174,379,38,6609,0.21588089330024815,0.005751475707582866,0.18,0.004371419957793186,81,29
persistence,persistence,,normalized,leakage_only,0.15919016691536034,0.15898965170251422,0.005879393369377808,0,0,36,0.0,0.0,0.15917633827999164,0.0,0.09069381541098663,0.44945569234353516,-0.14212910617929192,0.007839940403118322,0.6992876757382341,0.18625678119349007,0.0019557695200842487,0.8879310344827587,103,450,13,6634,0.019851116625310174,0.0015135462388375966,0.0,0.0,0,0
