config,profile_id,components,mae_normalized,mae_ua,crossing_recall,crossing_fpr
persistence,SIM_X7R_100N_50V,1800,0.192473515123636,0.048118378780909,0.1457286432160804,0.0006246096189881324
persistence,SIM_X7R_10N_50V,1800,0.14751852045541525,0.01770222245464983,0.3357142857142857,0.0030120481927710845
persistence,SIM_X7R_1U_25V,1800,0.14807426883119912,0.1036519881818394,0.12844036697247707,0.002365464222353637
persistence,SIM_X7R_4U7_16V,1800,0.14869436325119095,0.19330267222654826,0.12380952380952381,0.0017699115044247787
linear_extrapolation,SIM_X7R_100N_50V,1800,0.31659691217036556,0.07914922804259139,0.23618090452261306,0.008744534665833853
linear_extrapolation,SIM_X7R_10N_50V,1800,0.293200627776382,0.03518407533316584,0.4785714285714286,0.012048192771084338
linear_extrapolation,SIM_X7R_1U_25V,1800,0.2197450078817107,0.1538215055171975,0.23853211009174313,0.011827321111768185
linear_extrapolation,SIM_X7R_4U7_16V,1800,0.22028881727510907,0.28637546245764184,0.2571428571428571,0.008849557522123894
xgb_v1_replica,SIM_X7R_100N_50V,1800,0.2466774362921983,0.06166935907304957,0.2663316582914573,0.014366021236727046
xgb_v1_replica,SIM_X7R_10N_50V,1800,0.20560672665156646,0.024672807198187978,0.4785714285714286,0.012650602409638554
xgb_v1_replica,SIM_X7R_1U_25V,1800,0.20110614153534728,0.1407742990747431,0.3119266055045872,0.013010053222945003
xgb_v1_replica,SIM_X7R_4U7_16V,1800,0.18673127544782495,0.24275065808217247,0.3142857142857143,0.005309734513274336
xgb_sq_norm_leak,SIM_X7R_100N_50V,1800,0.23763385845193177,0.05940846461298294,0.2814070351758794,0.008119925046845722
xgb_sq_norm_leak,SIM_X7R_10N_50V,1800,0.20424000393839523,0.02450880047260743,0.4142857142857143,0.012048192771084338
xgb_sq_norm_leak,SIM_X7R_1U_25V,1800,0.20293961241162645,0.14205772868813848,0.29357798165137616,0.012418687167356593
xgb_sq_norm_leak,SIM_X7R_4U7_16V,1800,0.19544243213356327,0.2540751617736322,0.3238095238095238,0.008259587020648967
xgb_sq_resid_leak,SIM_X7R_100N_50V,1800,0.2385321839599755,0.059633045989993874,0.27638190954773867,0.009369144284821987
xgb_sq_resid_leak,SIM_X7R_10N_50V,1800,0.20331591739980642,0.02439791008797677,0.4,0.012048192771084338
xgb_sq_resid_leak,SIM_X7R_1U_25V,1800,0.20162622740056582,0.14113835918039608,0.30275229357798167,0.012418687167356593
xgb_sq_resid_leak,SIM_X7R_4U7_16V,1800,0.19544732136610285,0.25408151777593374,0.3142857142857143,0.010029498525073746
xgb_abs_norm_leak,SIM_X7R_100N_50V,1800,0.17800239663808895,0.04450059915952224,0.22613065326633167,0.004996876951905059
xgb_abs_norm_leak,SIM_X7R_10N_50V,1800,0.13644520239667143,0.01637342428760057,0.44285714285714284,0.006024096385542169
xgb_abs_norm_leak,SIM_X7R_1U_25V,1800,0.13439076520207402,0.0940735356414518,0.26605504587155965,0.006505026611472502
xgb_abs_norm_leak,SIM_X7R_4U7_16V,1800,0.12958184160110722,0.16845639408143942,0.3142857142857143,0.00471976401179941
xgb_abs_resid_leak,SIM_X7R_100N_50V,1800,0.17304968182610345,0.04326242045652586,0.2663316582914573,0.005621486570893191
xgb_abs_resid_leak,SIM_X7R_10N_50V,1800,0.13521241464395706,0.016225489757274846,0.40714285714285714,0.005421686746987952
xgb_abs_resid_leak,SIM_X7R_1U_25V,1800,0.133743974969549,0.09362078247868431,0.27522935779816515,0.00827912477823773
xgb_abs_resid_leak,SIM_X7R_4U7_16V,1800,0.12968654663509058,0.16859251062561775,0.3238095238095238,0.0035398230088495575
