method,evaluated_components,flagged_components,true_positive,false_positive,false_negative,true_negative,review_recall,false_negative_rate,false_positive_rate,precision,defect_recall,tester_fault_recall,started_anomaly_recall,future_failure_recall,early_failure_recall,median_early_warning_lead_hours
fixed_limit,240,3,3,0,65,172,0.04411764705882353,0.9558823529411765,0.0,1.0,0.05,0.0,0.061224489795918366,0.05555555555555555,0.0,
robust_mad,240,30,29,1,39,171,0.4264705882352941,0.5735294117647058,0.005813953488372093,0.9666666666666667,0.4666666666666667,0.125,0.5918367346938775,0.5,0.425531914893617,96.0
isolation_forest,240,30,28,2,40,170,0.4117647058823529,0.5882352941176471,0.011627906976744186,0.9333333333333333,0.45,0.125,0.5714285714285714,0.46296296296296297,0.3829787234042553,96.0
combined,240,32,30,2,38,170,0.4411764705882353,0.5588235294117647,0.011627906976744186,0.9375,0.48333333333333334,0.125,0.6122448979591837,0.5,0.425531914893617,96.0
